Mike Matas,Software engineer
Jake Wood,"CEO, Team Rubicon"
Sergei Lupashin,Aerial robotics researcher
Deepika Kurup,"Inventor, student scientist"
Richard Branson,Entrepreneur
Imogen Heap,Musician
Elora Hardy,Sustainable designer
Bobby McFerrin,Musician
Aziz Abu Sarah,Entrepreneur + educator
Siddhartha Roy,Environmental engineer
David Macaulay,Illustrator
Joe DeRisi,Biochemist
Shilo Shiv Suleman,Artist
Augie Picado,Border specialist
Daniele Quercia,Map researcher
Danny Dorling,Social geographer
Joseph Ravenell,Physician and men’s health advocate
Tavi Gevinson,Blogger and fashion icon
Laolu Senbanjo,"Artist, musician, lawyer, activist"
Bill T. Jones,"Director/choreographer, dancer"
Dame Stephanie Shirley,Entrepreneur and philanthropist
Rodrigo y Gabriela,Guitar duo
Alexis Ohanian,Entrepreneur
Dayananda Saraswati,Vedantic teacher
Monica Byrne,Author and playwright
Drew Curtis,Web entrepreneur
Pawan Sinha,Visual neuroscientist
Suzanne Barakat,Physician
Giles Duley,Photojournalist
Milton Glaser,Graphic designer
Stacy Smith,Media researcher
Jeremy Rifkin,"Writer, thinker"
Alexander Betts,Social scientist
Avi Rubin,Computer security expert
Mark Roth,"Biochemist, cell biologist"
Susan Cain,Quiet revolutionary
VS Ramachandran,Brain expert
Gregory Stock,"Author, thinker"
Ben Cameron,Arts administrator
Hugh Herr,Bionics designer
Allan Adams,Theoretical physicist
Janine Benyus,"Science writer, innovation consultant, conservationist"
Tom Shannon,Sculptor
JK Rowling,Author
David Sedlak,Civil and environmental engineer
Kelli Swazey,Anthropologist
Paul Bennett,"Designer; creative director, Ideo"
Ray Kurzweil,"Inventor, futurist"
Trevor Copp and Jeff Fox,Artistic director
Rabbi Lord Jonathan Sacks,Religious leader
Peter Eigen,"Founder, Transparency International"
Ryan Holladay,
Vinay Venkatraman,Designer
Pico Iyer,Global author
Robert Gupta,Violinist
Norman Foster,Architect
"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",Cognitive psychologist
Don Levy,Film executive
Frans de Waal,Primatologist
Melissa Fleming,Voice for refugees
Karima Bennoune,Professor of international law
Andrés Ruzo,Geoscientist
Gregory Petsko,Bioengineer
Yasheng Huang,Political economist
Cesar Kuriyama,Video maker
Lee Hotz,Journalist
Dan Cobley,Online marketing whiz
Improv Everywhere,Pranksters
Andres Lozano,Neurosurgeon
Kary Mullis,Biochemist
Sunitha Krishnan,Anti-trafficking crusader
Lux Narayan,Entrepreneur
Carina Morillo,Autism advocate
Euvin Naidoo,Investment banker
Evan Williams,Twitter co-founder
Tania Simoncelli,Policy expert
Philippe Starck,Designer
David Birch,Digital money and identity consultant
Casey Gerald,American
Jonathan Marks,"Bioethicist, lawyer"
Michael Tilson Thomas,"Musician, Conductor"
Stephen Wolfram,"Scientist, inventor"
Daniel Wolpert,Movement expert
Knut Haanaes,Strategist
Sara Lewis,Firefly specialist
David Hanson,Robotics designer
Shashi Tharoor,Politician and writer
Joseph Redmon,Computer scientist
Martin Jacques,"Writer, columnist"
Martin Villeneuve,"Graphic artist, director"
Mark Plotkin,Amazonian ethnobotanist
Maira Kalman,"Illustrator, author"
T. Boone Pickens,Entrepreneur and energy theorist
Alessandra Orofino,Political mobilization activist
Matt Killingsworth,Happiness researcher
Alex Laskey,Energy software maker
Pia Mancini,Democracy activist
Jamil Abu-Wardeh,Producer
Mechai Viravaidya,Public health expert
Mihaly Csikszentmihalyi,Positive psychologist
David Autor,Economist
William Li,Cancer researcher
Ethan Zuckerman,"Blogger, digital visionary"
Genevieve von Petzinger,Paleoanthropologist and rock art researcher
Madeleine Albright,Former US Secretary of State
Jok Church,Cartoonist
Steven  Cowley,Physicist 
Hyeonseo Lee,Activist
Alisa Miller,"CEO, Public Radio International (PRI)"
Taylor Mali,Slam poet
Beau Lotto,"Neuroscientist, Artist"
Lee Cronin,Chemist
Eric Berlow and Sean Gourley,Ecologist
Morley,Singer-songwriter
Markus Fischer,Designer
Bill Davenhall,Health and human services expert
Willard Wigan,Micro-sculptor
Ed Boyden,Neuroengineer
Janet Echelman,Artist
Mona Chalabi,Data journalist
Alberto Cairo,Physiotherapist
David R. Williams,Public health sociologist
Martin Seligman,Psychologist
Geoff Mulgan,Social commentator
Lucy Kalanithi,Caregiver
Isaac Mizrahi,Fashion designer
Will Potter,Investigative journalist
Raymond Wang,Inventor
Ismael Nazario,Prison reform advocate
Olúfẹ́mi Táíwò,"Historian, philosopher"
Maria Bezaitis,Computer engineer
Stephen Coleman,Ethicist
Sunni Brown,Visualizer and gamestorming
Siddharthan Chandran,Regenerative neurologist
Robert Wright,"Journalist, philosopher"
Adam Ostrow,Journalist
Sophie Scott,"Neuroscientist, stand-up comic"
Suzana Herculano-Houzel,Neuroscientist
Michael Archer,Paleontologist
Stephen Hawking,Theoretical physicist
David Damberger,"Engineer, Social Entrepreneur"
Brenda Romero,Game designer
Myriam Sidibe,Public-health expert
Saki Mafundikwa,Graphic designer
Donald Hoffman,Cognitive scientist
Elon Musk,Serial entrepreneur
Chris Bangle,Car designer
Ryan Merkley,"COO, Mozilla Foundation"
Audrey Choi,Sustainable investment expert
Todd Humphreys,Assistant Professor
Fabian Hemmert,Designer
Erika Gregory,Nuclear reformer
Martin Rees,Astrophysicist
Sinéad Burke,"Writer, educator"
Sofia Jawed-Wessel,Sex researcher
Joey Alexander,Jazz pianist
Greg Asner,Airborne ecologist
Atul Gawande,"Surgeon, journalist"
Jonathan Harris,"Artist, storyteller, Internet anthropologist"
Hans Rosling,Global health expert; data visionary
Chip Conley,"CEO, author"
Jennifer Granick,Surveillance and cybersecurity counsel
Camille A. Brown,Choreographer and educator
Lisa Genova,"Neuroscientist, novelist"
Anupam Mishra,Environmental activist
Ben Goldacre,Debunker
Jarreth Merz,Filmmaker
David Cameron,Politician
Jill Tarter,Astronomer
Memory Banda,Activist
Tricia Wang,Technology ethnographer
Sal Khan,Educator and social entrepreneur
Louise Fresco,Food and agriculture expert
Eric Berlow,Ecologist
Louise Leakey,Paleoanthropologist
Anas Aremeyaw Anas,Undercover journalist
Shane Koyczan,Poet
Dyan deNapoli,Penguin expert
David Epstein,Sports science reporter
Morgan Spurlock,Filmmaker
Paul Root Wolpe,Ethicist
Alex Tabarrok,Economist
Suki Kim,Writer
Jae Rhim Lee,Artist
Hubertus Knabe,Historian
Aditi Gupta,"Social entrepreneur, co-founder of Menstrupedia"
Jennifer Doudna,Biologist
Alastair Parvin,Designer
Eddy Cartaya,Cave Explorer
Rob Harmon,Natural resources expert
Michael Anti,Blogger
Lakshmi Pratury,Connector
Raj Panjabi,Physician
Jorge Soto,Cancer technologist
Kees Moeliker,Ornithologist
David Anderson,Neurobiologist
Dale Dougherty,Tech publisher
Silk Road Ensemble + Rhiannon Giddens,Musical explorers
Paul Pholeros,Architect
Caitlin Quattromani and Lauran Arledge,Marketing leader
Kiran Bedi,Corrections pioneer
Isabel Allende,Novelist
Taiye Selasi,Author
Mina Bissell,Cancer Researcher
Feisal Abdul Rauf, Chairman of the Cordoba Initiative
Sarah Jones,Polymorphic playwright
Dan Bricklin,Software pioneer
Ravin Agrawal,Investor 
Jared Ficklin,Visualizer
Monica Araya,Climate advocate
Miriam Zoila Pérez,"Writer, activist"
Alice Goffman,Urban sociologist
Vik Muniz,Artist
Mia Birdsong,Family activist
Rives,"Performance poet, multimedia artist"
Barry Schuler,Entrepreneur
Katrina Spade,"Inventor, designer, death care advocate"
Paul Nicklen,Polar photographer
Janna Levin,Physicist
Anant Agarwal,Education innovator
Rob Hopkins,Resilience leader
Mark Kendall,Biomedical engineer
Shekhar Kapur,Director and writer
Ben Saunders,Arctic explorer
Philip K. Howard,Legal activist
Nonny de la Peña,Virtual reality pioneer
Lorrie Faith Cranor,Security researcher
Seth Godin,Marketer and author
Freeman Dyson,Physicist
Jeremy Gilley,Peace activist
Ann Cooper,Lunch lady
Tara Winkler," Child protection leader, activist, author "
Laurel Braitman,Science Historian + Writer
Sajay Samuel,Educator
Anne Lamott,"Novelist, essayist"
Jason Fried,Software entrepreneur
Henry Evans and Chad Jenkins,Robotics activist
Marc Raibert,Roboticist
Leslie Dodson,Reporter
Auke Ijspeert,Roboticist
Newton Aduaka,Filmmaker
Mary Lou Jepsen,Screen engineer
Elizabeth Murchison,Cancer researcher
Garry Kasparov,"Grandmaster, analyst"
Stew,Singer/songwriter
Reshma Saujani,Education activist
LaToya Ruby Frazier,Photographer
Michael Moschen,Juggler
Jane Fonda and Lily Tomlin,Actor and activist
Joshua Prager,Journalist
Nic Marks,Happiness researcher
Chris Downey,Architect
Matthew Carter,Type designer
Barat Ali Batoor,Photojournalist
Jackson Browne,Musician and activist
Julia Galef,Writer
Tal Golesworthy,Engineer and artist
Andreas Schleicher,Education surveyor
Beth Noveck,Open-government expert
Allison Hunt,Marketing expert
Christine Sun Kim,"Sound artist, composer"
Andy Hobsbawm,Internet entrepreneur
Ken Jennings,Know-it-all
Dena Simmons,Educator
Lord Nicholas Stern,Climate economist
Daniel Kish,Perceptual navigation specialist
Robert Ballard,Oceanographer
Mohamed Hijri,Biologist
Margaret Heffernan,Management thinker
Bill Clinton,Activist
Vishal Vaid,Musician
Dave Troy,Technologist
Benedetta Berti,International policy analyst
Helder Guimarães,Magician
Pam Warhurst,"Cofounder, Incredible Edible"
Mike Rowe,TV host
Bernie Dunlap,College president
Lisa Margonelli,Writer
Michael Pollan,Environmental writer
Adam de la Zerda,"Biologist, electrical engineer"
John Green,Writer
Jeff Skoll,Producer
Jason Pontin,Editor
Mary Robinson,Global leader
John Delaney,Oceanographer
Matthew Childs,"Marketer, rock climber"
Elizabeth Pisani,Author
John Wooden,Coach
Cameron Sinclair,"Co-founder, Architecture for Humanity"
Gary Greenberg,Micro photographer
Martin Pistorius,"Author, designer"
Bruce Bueno de Mesquita,Political scientist
Amy Tan,Novelist
George Monbiot,Rewilding campaigner
Jorge Drexler,"Musician, poet"
Emtithal Mahmoud,Poet
Ross Lovegrove,Industrial designer
Natalie Jeremijenko,Artist and engineer
Tom Gruber,AI product designer
Kevin Slavin,Algoworld expert
Sheila Patek,"Biologist, biomechanics researcher"
Shereen El Feki,Arab sexuality expert
Anil Ananthaswamy,Science writer
Jeff Hawkins,"Computer designer, brain researcher"
Daniel Levitin,Neuroscientist
Tierney Thys,Marine biologist
Mac Barnett,Children's book author
Nagin Cox,Spacecraft operations engineer
David Bismark,Voting system designer
Will Wright,Game designer
Roger Ebert,Film critic and blogger
Mallika Sarabhai,"Dancer, actor, activist"
Silk Road Ensemble,Musical explorers
Bettina Warburg,Blockchain entrepreneur and researcher
Bandi Mbubi,Social Justice Activist
Mary Roach,Writer
Jesse Schell,Game designer
Kid President,Inspirer
Adam Grant,Organizational psychologist
Elise Roy,"Lawyer, artist, human rights advocate"
Improv Everywhere,Social energy entrepreneur
Tomás Saraceno,Artist
William Noel,"Curator, rare book scholar"
Fred Swaniker,Educational entrepreneur
Daphne Koller,Educator
Amy Purdy,Pro snowboarder
Charles Elachi,Planetary scientist
Stephen Ritz,Teacher
Jane Chen,Social entrepreneur
Grégoire Courtine,Spinal cord researcher
Adora Svitak,Child prodigy
Eric Giler,Wireless electrician
Rishi Manchanda,Physician
Leslie T. Chang,Journalist
Steven Wise,Animal rights lawyer
Patrick Awuah,University founder
Gabby Giffords and Mark Kelly,Former U.S. Representative and NASA astronaut; survivors
Halla Tómasdóttir,Change catalyst
Kelly McGonigal,Health psychologist
Jeff Smith,Recovering politician
Joshua Walters,"Comedian, activist"
Jonathan Trent,Scientist and biofuel guru
Mariano Sigman,Neuroscientist
Tal Danino,Synthetic biologist
José Bowen,Professor of music
Leymah Gbowee,"Peace activist, Nobelist"
Chris Hadfield,Astronaut
Melvin Russell,"Chief of the Community Partnership Division, Baltimore Police Department"
Richard Pyle,Ichthyologist
Grace Kim,Architect
Thomas Hellum,Slow television advocate
Trita Parsi,Political scientist
Anand Agarawala,Interaction designer; software developer
Tim Birkhead,Ornithologist
Charles Leadbeater,Innovation consultant
Reggie Watts,"Vocalist, beatboxer, comedian"
Chelsea Shields,"Activist, anthropologist, consultant"
Brené Brown,Vulnerability researcher
Megan Phelps-Roper,"Writer, activist"
Robert Thurman,Buddhist scholar
Jill Shargaa,Comedian + Designer
Dan Pallotta,"Author, speaker, reformer"
Ani Liu,"Designer, artist"
Mustafa Akyol,Journalist
Daniel Tammet,"Linguist, educator"
Jackie Savitz,Ocean advocate
Ray Zahab,Endurance runner
Larry Brilliant,"Epidemiologist, philanthropist"
Jim Yong Kim,"President, World Bank Group"
Sanjay Dastoor,Roboticist
Edi Rama,Politician
Tom Thum,Beatboxer
Beardyman,Beatboxer and inventor
Linda Hill,Management professor
Wadah Khanfar,Journalist
Ziauddin Yousafzai,Education activist
Paul Debevec,Computer graphics pioneer
Catarina Mota,Maker
Fred Jansen,Space explorer
Sethembile Msezane,Artist
John Maeda,Artist
Kate Stone,Shepherd of electrons
Geoffrey Canada,Education reformer
Matt Ridley,Rational optimist
Ge Wang,Music technologist
The LXD,Dance adventurers
Mellody Hobson,Investment expert
Suzanne Simard,Forest ecologist
Carmen Agra Deedy,Storyteller
Richard Dawkins,Evolutionary biologist
Wendy Troxel,Sleep researcher
Michael Botticelli,Drug policy expert
Charity Tillemann-Dick,Soprano
Tshering Tobgay,Prime Minister of Bhutan
Randall Munroe,Cartoonist
George Tulevski,Materials scientist
Kitra Cahana,Vagabond photojournalist + conceptual artist
Stephen Cave,Philosopher
Klaus Stadlmann,Engineer
Geena Rocero,Model and activist
Sarah Bergbreiter,Microroboticist
Harry Baker,Poet
Tim Urban,Blogger
Joan Halifax,"Author, Zen priest"
Aditi Shankardass,Neuroscientist 
Steven Addis,Brand strategist
Arthur Benjamin,Mathemagician
Kwabena Boahen,Bioengineer
Meera Vijayann,Citizen journalist
Parag Khanna,Global strategist
Roxane Gay,Writer
BJ Miller,Palliative care physician
Paola Antonelli,Design curator
Eric Mead,Magician
Julie Taymor,"Director, designer"
Sangu Delle,Entrepreneur
Aala El-Khani,Humanitarian psychologist
James Flynn,Moral philosopher
Lisa Harouni,3D printing entrepreneur
Aomawa Shields,"Astronomer, astrobiologist, actor, writer"
Pilobolus,Dance company
Thomas Suarez,"Developer, 12 year old"
Paul Ewald,Evolutionary biologist
Charles Hazlewood + British Paraorchestra,Contemporary music ensemble
Ruby Wax,Comedian and Mental Health Activist
Jennifer Pluznick,Physiologist
Adam Garone,Moustache activist
John Kasaona,Conservationist
Carl Honoré,Journalist
Dan Barber,Chef
Stewart Brand,"Environmentalist, futurist"
E.O. Wilson,Biologist
Brittney Cooper,Cultural theorist
Steven Strogatz,Mathematician
Annette Heuser,Rating agency reformer
Alyssa Monks,Painter
Joy Buolamwini,Poet of code
Torsten Reil,Animating neurobiologist
Marisa Fick-Jordan,"Craft artist, product designer"
Boyd Varty,Environmental and literacy activist
Vicki Arroyo,Environmental policy influencer
Ione Wells,"Writer, activist"
Nizar Ibrahim,Paleontologist
Sonaar Luthra,
Joe Sabia,Storyteller
Asher Hasan,Social entrepreneur
Richard Seymour,Designer
Ann Morgan,"Writer, blogger, author"
Virginia Postrel,Journalist
Peter van Uhm,General
Duarte Geraldino,Journalist
Josette Sheeran,Anti-hunger leader
Chris Gerdes,Mechanical engineer
Sandrine Thuret,Neural stem cell researcher
Dennis Hong,Roboticist 
Olafur Eliasson,Sculptor of light and space
Norman Lear,"Producer, activist"
Sheryl WuDunn,"Author, journalist"
Rupal Patel,Speech scientist
Rajesh Rao,Computational neuroscientist
Cesar Harada,"Inventor, environmentalist, educator"
Zak Ebrahim,Peace activist
Johnny Lee,Human-computer interaction researcher
Jamie Oliver,"Chef, activist"
Nigel Marsh,Author and marketer
Alexa Meade,Visual artist
John Koenig,Writer
Rebecca Brachman,"Neuroscientist, writer, entrepreneur"
Kevin B. Jones,Cancer researcher
James Surowiecki,Finance journalist
Chris Burkard,Surf photographer
Fei-Fei Li,Computer scientist
Usman Riaz + Preston Reed,Revolutionary Guitarist
iO Tillett Wright,Photographer
Nick Hanauer,"Venture capitalist, author"
Sharon Terry,Citizen biomedical researcher
John Underkoffler,Interface designer
Sarah Lewis,Writer
Sxip Shirey + Rachelle Garniez,Musician
ShaoLan,"Technologist, entrepreneur"
Thelma Golden,Curator
Sonia Shah,Science writer
Justin Davidson,Architecture critic
T. Morgan Dixon and Vanessa Garrison,Health activist
Jonathan Haidt,Social psychologist
Simon Sinek,Leadership expert
"David Byrne, Ethel + Thomas Dolby",Electronic music pioneer
Richard Feynman,Physicist
Michael Patrick Lynch,Philosopher
Marc Koska,Inventor
Molly Crockett,Neuroscientist
Paul MacCready,Engineer
Christopher Soghoian,Privacy researcher and activist
Jay Walker,Entrepreneur
Jean-Paul Mari,Journalist and psychologist
Uldus Bakhtiozina,photographer + visual artist
"Curtis ""Wall Street"" Carroll",Financial literacy advocate
Noah Wilson-Rich,Beekeeper
Catherine Crump,Attorney + privacy advocate
Mary Norris,Copy editor
Bruno Bowden + Rufus Cappadocia,Engineer and origamist
Joe Madiath,Social entrepreneur
Zubaida Bai,Women's health advocate
Stacey Kramer,Brand strategist
Lidia Yuknavitch,Author
Eric Lewis,Pianist
Tabetha Boyajian,Astronomer
Paula Hammond,Medical researcher and educator 
Ole Scheeren,Architect
Dean Kamen,Inventor
Brian Little,Personality researcher
Mark Raymond,Architect
Read Montague,Behavioral Neuroscientist
Irwin Redlener,"Physician, disaster-preparedness activist"
Arianna Huffington,Journalist
Kate Stafford,Oceanographer
Harish Manwani,"COO, Unilever"
Michael McDaniel,Graphic designer
Leah Buechley,Designer
Kiran Sethi,Educator
Shlomo Benartzi,Economist
Robin Morgan,Poet and activist
Nicholas Negroponte,Tech visionary
Maurice Conti,"Designer, futurist"
Carolyn Jones,Photographic ethnographer
Peter Donnelly,Mathematician; statistician
Abigail Washburn,Clawhammer banjo player
Boaz Almog,Quantum Researcher
Gustavo Dudamel and the Teresa Carreño Youth Orchestra,Ensemble
Elizabeth Lev,Art historian
Paul Bloom,Psychologist
Heather Brooke,Journalist
Sō Percussion,Percussion ensemble
Anthony Atala,Surgeon
Paul Piff,Social psychologist
Talithia Williams,Statistician
Mary Bassett,New York City Health Commissioner
Parul Sehgal,Literary critic
Laura Boushnak,Photographer
Susan Etlinger,Data analyst
Karen Bass,Natural history filmmaker 
May El-Khalil,Founder of the Beirut Marathon
Yann Arthus-Bertrand,Photographer
Amy Cuddy,Social psychologist
James Stavridis,Navy Admiral
Michael Pritchard,Inventor
Nadia Al-Sakkaf,Journalist
Eddie Obeng,Business Educator
Deborah Rhodes,"Physician, cancer researcher"
Lisa Nip,Synthetic biologist 
Joachim de Posada,Speaker and author
Hanna Rosin,Journalist
David Chalmers,Philosopher
Paul Snelgrove,Marine biologist
Ellen  Gustafson,Social entrepreneur
Bill Joy,Technologist and futurist
Daan Roosegaarde,Artist
Kare Anderson,Writer
Misha Glenny,Underworld investigator
Kimberlé Crenshaw,Civil rights advocate
Dong Woo Jang,Bow designer
Michael Shellenberger,Climate policy expert
Niall Ferguson,Historian
Robert Lang,Origamist
Todd Coleman,Bioelectronics innovator﻿
Scott McCloud,Cartoonist
Daniel H. Cohen,Philosopher
Nina Tandon,Tissue engineering researcher
Chris Anderson (TED),TED Curator
Stephanie Busari,Journalist
David Burkus,Management researcher
Jeff Hancock,Psychologist
Dan Barasch,Strategist
David Lang,Maker
Jakob Trollback,Designer
Alaa Murabit,Peace expert
Viktor Frankl,"Psychiatrist, neurologist, author"
Charles Moore,Oceanographer
Hans and Ola Rosling,Global health expert; data visionary
Pankaj Ghemawat,Globalization researcher
Zainab Salbi,Activist and social entrepreneur
Rajiv Maheswaran,Researcher
Golan Levin,Experimental audio-visual artist
Yann Dall'Aglio,Philosopher
Bob Mankoff,Cartoon editor
Lee Smolin,Physicist
Miguel Nicolelis,Neuroscientist
Shai Agassi,Green auto pioneer
Kandice Sumner,Educator
Quyen Nguyen,Surgeon
Nathan Wolfe,Virus hunter
Edward Snowden,Whistleblower
Tod Machover + Dan Ellsey,"Composer, inventor"
Evgeny Morozov,Internet scientist
Nadine Burke Harris,Pediatrician
Joe Landolina,medical inventor
Meaghan Ramsey,Self-esteem advocate
Todd Kuiken,Biomedical engineer
Seyi Oyesola,Doctor
Andreas Ekström,Author and journalist
Andrew McAfee,Management theorist
Rutger Bregman,Historian
Emily Balcetis,Psychologist
Dan Buettner,"Longevity coach, explorer"
Carrie Poppy,"Writer, radio host, comedian"
Cameron Russell,Model
Dave Eggers,"Author, publisher, education activist"
"Alicia Garza, Patrisse Cullors and Opal Tometi","Writer, activist"
Ameenah Gurib-Fakim,President of Mauritius
Jacek Utko,Newspaper designer
Felix Dennis,"Publisher, philanthropist, poet"
Eduardo Paes,Mayor of Rio de Janeiro
Eddi Reader,Singer/songwriter
Neil Harbisson,Sonochromatic Cyborg Artist
Edward Tenner,Historian of technology and culture
Ric Elias,Entrepreneur
Jude Kelly,"Theater director, producer"
Benoit Mandelbrot,Mathematician
Robert Fischell,Biomedical inventor
Marcin Jakubowski,Farmer and technologist
James Hansen,Climatologist
Itay Talgam,Conductor and leadership expert
Diébédo Francis Kéré,Community-minded architect
Robert Muggah,Megacities expert
Jill Sobule,Singer/songwriter
John Hunter,Educator
Eben Bayer,Green designer
Wanda Diaz Merced,Sonic astrophysicist
Carne Ross,Diplomat
Bart Weetjens,Product developer
Alex Kipman,Inventor
Vusi Mahlasela,"Musician, activist"
Melissa Marshall,Communications teacher
Christopher Bell,Media studies scholar
Jon Mooallem,Writer
Ian Bremmer,Political theorist
Billy Collins,Poet
Michael Norton,Social science researcher
Marlene Zuk,Evolutionary biologist
Bel Pesce,Entrepreneur
Ethel,String quartet
Sue Austin,Performance artist
Eric Haseltine,"Author, futurist, innovator"
Ilona Szabó de Carvalho,Policy reformer
Barton Seaver,Chef
Tyler Cowen,Economist
Dimitar Sasselov,Astronomer
Janine Shepherd,Pilot
John Hardy,"Designer, educator"
Deborah Scranton,Filmmaker
Tea Uglow,Designer
Paul Lewis,Journalist
Enric Sala,Marine ecologist
Arvind Gupta,Toymaker
Lemon Andersen,Poet and actor
Caroline Casey,Inclusivity activist
Monika Bulaj,Photographer
Philip Evans,Consultant
Janet Iwasa,Molecular animator
Wade Davis,"Anthropologist, ethnobotanist"
Dennis vanEngelsdorp,Bee expert
Linda Liukas,"Programmer, storyteller and illustrator"
Sarah-Jayne Blakemore,Cognitive Neuroscientist
Sebastião Salgado,Photojournalist
Paul Collier,Economist
Thulasiraj Ravilla,Vision activist
Matthew White,Brass virtuoso
Jane Goodall,Primatologist; environmentalist
Jer Thorp,Data artist
JR,Street artist
Harald Haas,Communications technology innovator
Jack Andraka,Cancer detector inventor
Jason McCue,Lawyer
Richard St. John,"Marketer, success analyst"
Sophie Hunger,Singer
Eli Beer,Life saver
Kio Stark,Stranger enthusiast
Dee Boersma,Conservation biologist
David Griffin,"Director of photography, National Geographic"
Nandan Nilekani,Technologist and visionary
Richard Ledgett,"Deputy director, NSA"
Ami Klin,Autism researcher
Phil Borges,Photographer
Yoruba Richen,Documentary filmmaker
Heather Knight,Roboticist 
Haas&Hahn,Favela painters
Manoush Zomorodi,Tech podcaster
Franco Sacchi,Filmmaker
Katie Hinde,Lactation researcher
Anjan Chatterjee,Cognitive neuroscientist
Allan Jones,Brain scientist
Andy Puddicombe,Mindfulness expert
Stuart Firestein,Neuroscientist
Romina Libster,Medical researcher
Apollo Robbins,Gentleman thief
Nancy Lublin,Activist
Tom Chatfield,Gaming theorist
Tony Wyss-Coray,Brain scientist
Dan Ariely,Behavioral economist
Pavan Sukhdev,Environmental economist
Al Seckel,Master of visual illusions
Caroline Lavelle,Cellist; singer-songwriter
Marwa Al-Sabouni,Architect
Will Marshall,Space scientist
Steve Jurvetson,Venture capitalist
Nancy Duarte,"CEO, presentation designer"
Taylor Wilson,Nuclear scientist
Jane McGonigal,Game Designer
Astro Teller,"Entrepreneur, inventor, author"
Ron McCallum,Labor lawyer and activist
Sylvia Earle,Oceanographer
Krista Tippett,Journalist
Joe Smith,Lawyer
Ashton Cofer,Youth inventor
Aaron Huey,Photographer
Bobby Ghosh,Editor
Ron Eglash,Mathematician
Keren Elazari,Cybersecurity expert
Thomas Peschak,Conservation photographer
Abha Dawesar,Novelist
Julian Treasure,Sound consultant
Wael Ghonim,Internet activist and computer engineer
Zach Kaplan + Keith Schacht,Inventor
Cynthia Breazeal,Roboticist 
Sam Richards,Sociologist
Jehane Noujaim,Filmmaker
Linus Torvalds,Software engineer
Eric Dishman,Social scientist
Pamela Meyer,Lie detector
Ory Okolloh,Blogger and activist
Eric Liu,Civics educator
Nora York,"Singer, performance artist"
Diana Nyad,"Journalist, swimmer"
Fabien Cousteau,Ocean explorer and environmentalist
Manuel Lima,Data visualization researcher
Neha Narula,Currency futurist
James Cameron,Director
Ben Katchor,Cartoonist
Severine Autesserre,Peace and conflict researcher
James Patten,Interaction designer
Alejandro Sánchez Alvarado,Developmental and regeneration biologist
Jeff Bezos,Online commerce pioneer
John Q. Walker,Musician and inventor
Molly Stevens,Biomaterials researcher
Ian Goldin,"Economist, development visionary"
Samuel Cohen,Research scientist
Charlie Todd,Comedian
Peter Ward,Paleontologist
Nathaniel Kahn,Filmmaker
Michelle Obama,First Lady of the United States
Emily Parsons-Lord,Artist
Joseph Nye,Diplomat
Sanford Biggers,Conceptual artist
Miwa Matreyek,Multimedia artist
Georgette Mulheir,"CEO, Lumos"
Dan Gross,Gun-control activist
Angela Belcher,Biological engineer
Deeyah Khan,Filmmaker
Zeynep Tufekci,Techno-sociologist
Robert Swan,Polar explorer
Jennifer Healey,Research scientist
Evelyn Glennie,Musician
Rob Knight,Microbial ecologist
Nirmalya Kumar,Professor
Anna Mracek Dietrich,Inventor
Fredy Peccerelli,Forensic anthropologist
Joseph Lekuton,Kenyan MP
António Guterres,Designate Secretary-General of the United Nations
Mileha Soneji,Product designer
Andrew Solomon,Writer
Lisa Bu,Passionate reader
Robin Murphy,Disaster roboticist
Frances Larson,Anthropologist
Jim Hemerling,Organizational change expert
Miru Kim,Photographer and explorer
Sara Ramirez,"Singer, songwriter, actress"
Hamish Jolly,"Inventor, ocean swimmer"
Cristina Domenech,Poet and educator
David Merrill,MIT grad student
Megan Washington,Musician
Renny Gleeson,Skeptimist
Paul Kemp-Robertson,Advertising expert
Wes Moore,Author and advocate
Seth Berkley,Vaccine visionary
Siyanda Mohutsiwa,Writer
Janette Sadik-Khan,City transportation expert
Anders Ynnerman,Scientific visualization expert
Mena Trott,"Blogger; cofounder, Six Apart"
Shonda Rhimes,Writer and producer
John Graham-Cumming,Computer programmer
Amanda Palmer,"Musician, blogger"
Carin Bondar,Wild sex biologist
Seth Priebatsch,Entrepreneur
Stuart Russell,AI expert
Jamila Lyiscott,Poet and educator
Chance Coughenour,Digital archaeologist
Alex Steffen,Planetary futurist
Lucien Engelen,Healthcare innovator
Rick Guidotti,Photographer
Svante Pääbo,Geneticist
Lian Pin Koh,Drones ecologist
Gary Slutkin,Epidemiologist
Penelope Boston,Cave scientist
Anastasia Taylor-Lind,Documentary photographer
Natalie MacMaster,Fiddler
Phil Plait,Astronomer
Paul Tudor Jones II,Investor
Bart Knols,Malariologist
Thomas Barnett,Military strategist
Yang Lan,"Media mogul, TV host"
Titus Kaphar,Artist
Steve Truglia,Stuntman
Sally Kohn,Political pundit
Jennifer Lin,"Pianist, composer"
Allan Savory,Grassland ecosystem pioneer
Robb Willer,Social psychologist
Juno Mac,Sex worker and activist
Paula Johnson,Women's-health expert
Angélica Dass,Artist and photographer
Susan Solomon,Stem cell research advocate
David Blaine,"Illusionist, endurance artist"
Adam Sadowsky,Creative entrepreneur 
Christopher C. Deam,Designer
Amy Smith,"inventor, engineer"
